video_id,current_rev,projected_rev,uplift_jpy,uplift_pct
bv2iwq17LVY,775439.244,997822.9551202024,222383.71112020244,28.678418437151265
8zzMPgZ6bC8,413549.791,549635.4218232207,136085.63082322065,32.906710095090006
27WNi57l-L8,262158.29,322271.26573198364,60112.975731983664,22.93003045296933
IfqMm5O2yKI,220044.189,317590.4606092657,97546.2716092657,44.33031022203713
4ZYJdZRvDwo,210519.944,291704.0334255489,81184.08942554894,38.56360964334522
ROzfh_3D5Jo,199285.446,252399.33911651064,53113.89311651065,26.652168626759966
yeahBDJu-Xg,148980.267,186874.30891649058,37894.04191649059,25.435611493762856
4isid3PNoA8,142744.938,165538.19088784233,22793.252887842333,15.967818689193969
aZ-PiV22CFs,118204.595,148225.66586099082,30021.070860990818,25.397549783061145
gufD7_XysaE,80131.579,106970.04204783424,26838.463047834244,33.49299163047099
L5nY1arYJ1M,59138.47,86166.64929913977,27028.179299139767,45.70321027774267
bP_Vn19u6Y4,49973.537,69133.5868591569,19160.049859156905,38.34039175405357
BtP5GcSnRvA,25425.175,31677.920625238723,6252.745625238724,24.592733875926996
g5UgDFXpIYk,23279.159,30275.982915081753,6996.8239150817535,30.05617133798413
XsefWP-oKek,23252.806,35534.16955805992,12281.363558059918,52.81669471658568
7Wp6dxj0J5o,21402.04,26027.314966642665,4625.274966642664,21.611374273866723
6zA8ajECkDA,17250.061,22923.122865622216,5673.061865622214,32.88719886626612
sPtG_pnU-xw,15543.31,15214.451425483638,-328.85857451636184,-2.11575638983178
tiGERav_1iQ,10566.82,11249.036635754543,682.216635754543,6.456215169318136
