video_id,title,length_min,avg_watch_min,inserted_by,raw_slots,effective_slots,duplicates,warnings,slots_in_golden_zone,first_slot_sec,first_slot_pct_of_avg,last_slot_pct_of_length,model_ads_per_session,actual_ads_per_session,model_gap,views,est_revenue_jpy,rpm_jpy
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総,60.7,16.8,manual,6,4,2,0,0,1335,1.32,1.0,1.74,2.39,0.66,1395062,775439.244,555.558
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじ,47.5,14.2,manual,2,2,0,1,0,861,1.01,0.71,1.67,1.72,0.05,1096327,413549.791,377.222
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエス,51.7,15.0,manual,5,5,0,0,1,151,0.17,0.95,2.69,2.53,-0.16,389739,262158.29,672.702
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじ,68.2,18.3,manual,7,7,0,2,1,353,0.32,0.94,3.21,2.41,-0.8,377453,220044.189,582.953
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き,31.5,10.4,manual,8,8,0,0,3,84,0.13,0.99,3.92,1.73,-2.18,626601,210519.944,335.8
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさ,61.7,19.3,manual,4,4,0,0,1,725,0.63,0.78,2.29,2.48,0.19,291055,199285.446,684.561
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切,22.4,7.9,manual,2,2,0,0,0,592,1.25,0.72,1.56,1.56,0.01,656206,148980.267,226.782
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【に,24.0,9.9,manual,4,4,0,0,2,179,0.3,0.79,2.64,1.73,-0.91,393922,142744.938,362.142
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ,29.5,11.8,manual,6,6,0,0,2,137,0.19,0.98,3.11,1.9,-1.22,273667,118204.595,431.8
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総ま,66.6,20.3,manual,4,4,0,0,1,737,0.6,0.87,2.42,2.5,0.08,101130,80131.579,793.219
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,48.6,15.3,manual,2,2,0,0,1,892,0.97,0.6,1.73,1.69,-0.04,98557,59138.47,599.657
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ,35.3,14.5,manual,6,6,0,0,3,110,0.13,0.97,3.41,1.89,-1.52,121856,49973.537,409.998
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カト,27.0,12.4,manual,4,4,0,4,2,338,0.46,0.81,2.31,1.76,-0.54,55705,25425.175,456.593
g5UgDFXpIYk,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まと,57.0,19.5,manual,3,3,0,1,1,727,0.62,0.85,1.96,2.16,0.2,36378,23279.159,637.483
XsefWP-oKek,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/ア,74.4,19.0,manual,4,4,0,0,1,768,0.67,0.82,2.37,1.88,-0.48,44764,23252.806,515.222
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼ,48.6,12.3,manual,4,4,0,0,1,464,0.63,0.82,2.37,2.23,-0.14,31680,21402.04,675.812
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を",18.8,7.5,auto,6,6,0,0,2,156,0.35,0.88,3.06,1.34,-1.72,68763,17250.061,250.862
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさ,28.6,13.4,manual,2,2,0,0,1,671,0.83,0.8,1.56,2.37,0.81,25917,15543.31,599.107
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ,15.1,5.6,auto,5,5,0,0,2,60,0.18,0.84,2.98,1.43,-1.55,157473,10566.82,67.043
