length_min,smooth_rev_per_day,marginal_rev
1.3166666666666667,1.1167035003429355,0.22217235559664844
1.9925925925925925,1.2668755555147442,0.25035919154383957
2.6685185185185185,1.4360998238730802,0.2829009631923671
3.344444444444444,1.6273199193642172,0.32078333494044653
4.020370370370371,1.844145692055445,0.36524784376426334
4.696296296296296,2.0910261790442526,0.41769069620970806
5.372222222222222,2.373354149630444,0.4787983555272951
6.048148148148148,2.696986371422042,0.5496125737163741
6.724074074074074,3.068483759211813,0.6316432831351665
7.3999999999999995,3.495427830219842,0.7265576857556127
8.075925925925926,3.986527006702803,0.8361412810782575
8.751851851851852,4.551696576320514,0.9622143650888256
9.427777777777777,5.202082211982405,1.1064682957234215
10.103703703703703,5.949972819276939,1.2701720239298415
10.77962962962963,6.808515020636927,1.453807121634089
11.455555555555556,7.791180945445153,1.6559588783144108
12.131481481481481,8.910486483565078,1.8708759059562123
12.807407407407407,10.175060012591036,2.0827289063429997
13.483333333333333,11.582830477063618,2.2520071467017746
14.15925925925926,13.105020492889821,2.286775965778343
14.835185185185185,14.6507116549437,2.0077684171619063
15.511111111111111,16.007814381358692,1.3276956266478916
16.187037037037037,16.90523827714847,2.116683602977249
16.862962962962964,18.335959601383095,2.8569877922828875
17.538888888888888,20.267071720240967,3.1167942201581056
18.214814814814815,22.373793739421913,2.4049303177127386
18.89074074074074,23.999348491209222,3.5466174945093214
19.566666666666666,26.396599205090528,4.330856462077649
20.242592592592594,29.32393736927265,4.36836727015651
20.918518518518518,32.27663006113769,4.376768382894634
21.594444444444445,35.23500128290907,4.488260814388832
22.27037037037037,38.26873312967188,4.694675099048519
22.946296296296296,41.441985742917645,4.960330663311935
23.622222222222224,44.794801839415534,5.264086858122724
24.298148148148147,48.35293462314662,5.5911563985163
24.974074074074075,52.13214218881043,5.931657815227579
25.65,56.14150348984387,7.271998344278445
26.325925925925926,61.05683570403209,6.406910722886024
27.001851851851853,65.38743276672358,6.562504295617614
27.677777777777777,69.82319955913177,7.017131144974745
28.353703703703705,74.56626042564248,8.043946687400277
29.02962962962963,80.00337253842228,7.445225236098595
29.705555555555556,85.03579329985931,6.340491089041526
30.381481481481483,89.32149561004479,5.292323621505443
31.057407407407407,92.8987143542105,8.696236196545367
31.733333333333334,98.77672585743099,9.473819747744392
32.40925925925926,105.18032624248042,9.756316373541958
33.08518518518519,111.77487342089309,9.523594141100668
33.76111111111111,118.21211760885926,8.17066192713422
34.437037037037044,123.73487983738521,8.07494823072397
35.11296296296297,129.1929466970412,10.881765454278211
35.78888888888889,136.54821408743294,8.810788896997932
36.464814814814815,142.50365473077412,6.638274242188807
37.140740740740746,146.99063639447584,8.6603831107253
37.81666666666667,152.84441386746607,5.63621957430751
38.492592592592594,156.6540808019517,8.171098888345464
39.168518518518525,162.17713838388894,7.951654364125169
39.84444444444445,167.55186772260316,7.925752085284971
40.52037037037037,172.90908903950873,8.457793806871871
41.1962962962963,178.6259311497092,9.558845070189472
41.87222222222223,185.08700235455947,2.627366910385386
42.54814814814815,186.86290776620885,-10.56941281603164
43.224074074074075,179.71876762203934,-16.715101039925194
43.900000000000006,168.4205974746824,-15.67042582848089
44.57592592592593,157.82855038691295,-12.668010944995618
45.25185185185185,149.26591335927705,6.389637408844595
45.927777777777784,153.5848349411813,-5.268971036463568
46.60370370370371,150.0234008146828,-7.94968078403312
47.27962962962963,144.65000546991968,-6.074221702509266
47.955555555555556,140.54428154137176,-4.759145924481453
48.63148148148149,137.32745142575,-3.8686977148391404
49.30740740740741,134.71249834071986,-3.2543447556113536
49.983333333333334,132.51280234850108,-2.8169820905430325
50.659259259259265,130.60873112063402,-2.4991123630067706
51.33518518518519,128.91951628267574,-2.2690042019797283
52.01111111111111,127.38583751652278,-2.114928223881114
52.687037037037044,125.95630269852906,-2.0287329716167264
53.36296296296297,124.58502948623257,-1.9975027756315444
54.03888888888889,123.23486557307422,-2.010625102596414
54.714814814814815,121.87583193891183,-2.059138835029093
55.390740740740746,120.48400661523475,-2.1352235570867393
56.06666666666667,119.04075365535205,-2.231957170629675
56.742592592592594,117.53211593816718,-2.343204894882911
57.418518518518525,115.94828299995928,-2.4635820629282112
58.09444444444445,114.28308401298003,-2.58829481011647
58.77037037037037,112.53358844688279,-2.7131902220193225
59.4462962962963,110.6996728338512,-2.8347735291770233
60.12222222222223,108.78357591135192,-2.9501581401665797
60.79814814814815,106.78948753883192,-3.0598371776536815
61.474074074074075,104.72126426134379,-3.167881875878499
62.150000000000006,102.58001077116664,-3.257381911466504
62.82592592592593,100.37826188656429,-3.3175454349384244
63.50185185185185,98.13584691665221,-3.3501865424663198
64.17777777777778,95.8713689759111,-3.3575351596127683
64.8537037037037,93.60192391432099,-3.3418828113591195
65.52962962962962,91.34305868071715,-3.305523627132217
66.20555555555555,89.10876956237779,-3.250706844945525
66.88148148148147,86.91153252829425,-3.179599338108394
67.55740740740741,84.76235890160983,-3.094256876899107
68.23333333333333,82.67087045703914,
