length_min,avg_watch_min,optimal_total_slots,projected_jpy_per_session
5.0,3.5,1,0.4175
7.5,4.8,1,0.5
10.0,5.5,2,0.65965
12.5,6.2,2,0.787138
15.0,6.9,2,0.83
17.5,7.4,3,0.919674244897959
20.0,8.0,3,1.0143
22.5,8.5,3,1.0365333333333333
25.0,9.0,4,1.1147545056000001
27.5,9.4,4,1.1772654545454548
30.0,9.9,4,1.1990666666666665
32.5,10.3,5,1.266162123531361
35.0,10.7,5,1.3070834285714288
37.5,11.1,5,1.3284417280000003
40.0,11.5,5,1.3471302400000003
42.5,11.8,5,1.3649179168627454
45.0,12.2,5,1.3815943940740743
47.5,12.6,6,1.446925254736842
50.0,12.9,6,1.4647848055466672
52.5,13.2,6,1.4809434467555556
55.0,13.6,6,1.4962843869090914
57.5,13.9,6,1.5112257578666672
60.0,14.2,6,1.5249220145777782
62.5,14.5,6,1.5375225707520002
65.0,14.8,6,1.5497049248820518
67.5,15.1,7,1.5979472214028645
70.0,15.4,7,1.6109835517074287
72.5,15.7,7,1.6231208247496094
75.0,15.9,7,1.6344489462556446
77.5,16.2,7,1.6450462212129038
