video_id,n_slots,pre_gap_sec,end_gap_sec,min_inter_sec,median_inter_sec,max_inter_sec,n_sub30s,n_short_lt2min,n_wide_gt10min,title,length_sec,avg_watch_sec,rpm_jpy,est_revenue_jpy,length_min,avg_watch_min,pre_gap_min,end_gap_min,median_inter_min,max_inter_min
bv2iwq17LVY,6,1335,15.0,0,208.0,1465,2,2,2,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,3643.0,1010,555.558,775439.244,60.71666666666667,16.833333333333332,22.25,0.25,3.466666666666667,24.416666666666668
8zzMPgZ6bC8,2,861,834.0,1154,1154.0,1154,0,0,1,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2849.0,851,377.222,413549.791,47.483333333333334,14.183333333333334,14.35,13.9,19.233333333333334,19.233333333333334
27WNi57l-L8,5,151,151.0,325,778.0,918,0,0,3,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,3101.0,902,672.702,262158.29,51.68333333333333,15.033333333333333,2.5166666666666666,2.5166666666666666,12.966666666666667,15.3
IfqMm5O2yKI,7,353,249.0,235,604.5,793,0,0,3,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,4094.0,1098,582.953,220044.189,68.23333333333333,18.3,5.883333333333334,4.15,10.075,13.216666666666667
4ZYJdZRvDwo,8,84,19.0,167,254.0,322,0,0,0,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,1891.0,627,335.8,210519.944,31.516666666666666,10.45,1.4,0.31666666666666665,4.233333333333333,5.366666666666666
ROzfh_3D5Jo,4,725,799.0,520,533.0,1127,0,0,1,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,3704.0,1156,684.561,199285.446,61.733333333333334,19.266666666666666,12.083333333333334,13.316666666666666,8.883333333333333,18.783333333333335
yeahBDJu-Xg,2,592,372.0,380,380.0,380,0,0,0,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,1344.0,474,226.782,148980.267,22.4,7.9,9.866666666666667,6.2,6.333333333333333,6.333333333333333
4isid3PNoA8,4,179,302.0,216,345.0,395,0,0,0,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,1437.0,594,362.142,142744.938,23.95,9.9,2.9833333333333334,5.033333333333333,5.75,6.583333333333333
aZ-PiV22CFs,6,137,33.0,241,340.0,404,0,0,0,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,1771.0,711,431.8,118204.595,29.516666666666666,11.85,2.283333333333333,0.55,5.666666666666667,6.733333333333333
gufD7_XysaE,4,737,522.0,695,774.0,1268,0,0,3,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総まとめ①【にじさんじ/アンジュカトリーナ/ベルモンドバンデラス】,3996.0,1220,793.219,80131.579,66.6,20.333333333333332,12.283333333333333,8.7,12.9,21.133333333333333
L5nY1arYJ1M,2,892,1175.0,846,846.0,846,0,0,1,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,2913.0,917,599.657,59138.47,48.55,15.283333333333333,14.866666666666667,19.583333333333332,14.1,14.1
bP_Vn19u6Y4,6,110,64.0,181,246.0,876,0,0,1,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,2116.0,871,409.998,49973.537,35.266666666666666,14.516666666666667,1.8333333333333333,1.0666666666666667,4.1,14.6
BtP5GcSnRvA,4,338,303.0,281,307.0,388,0,0,0,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カトリーナ狂気まとめ①【アンジュ・カトリーナ/にじさんじ切り抜き】,1617.0,741,456.593,25425.175,26.95,12.35,5.633333333333334,5.05,5.116666666666666,6.466666666666667
g5UgDFXpIYk,3,727,499.0,980,1095.5,1211,0,0,2,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,3417.0,1168,637.483,23279.159,56.95,19.466666666666665,12.116666666666667,8.316666666666666,18.258333333333333,20.183333333333334
XsefWP-oKek,4,768,812.0,833,906.0,1147,0,0,3,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/アンジュ・カトリーナ/リゼ・ヘルエスタ】,4466.0,1138,515.222,23252.806,74.43333333333334,18.966666666666665,12.8,13.533333333333333,15.1,19.116666666666667
7Wp6dxj0J5o,4,464,533.0,428,737.0,755,0,0,2,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,2917.0,738,675.812,21402.04,48.61666666666667,12.3,7.733333333333333,8.883333333333333,12.283333333333333,12.583333333333334
6zA8ajECkDA,6,156,131.0,151,161.0,191,0,0,0,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を見せくれたアンジュ【 OnlyUp!/アンジュ・カトリーナ/切り抜き/にじさんじ 】",1127.0,450,250.862,17250.061,18.783333333333335,7.5,2.6,2.183333333333333,2.683333333333333,3.183333333333333
sPtG_pnU-xw,2,671,345.0,701,701.0,701,0,0,1,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,1717.0,807,599.107,15543.31,28.616666666666667,13.45,11.183333333333334,5.75,11.683333333333334,11.683333333333334
tiGERav_1iQ,5,60,144.0,160,180.0,183,0,0,0,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ切り抜き】,907.0,338,67.043,10566.82,15.116666666666667,5.633333333333334,1.0,2.4,3.0,3.05
