metric,top5_median,bot5_median,ratio_top_over_bot
動画長(分),51.68333333333333,10.283333333333333,5.0259319286871955
経過日数,793.0,1033.0,0.7676669893514037
視聴/日,757.937751004016,30.994191674733784,24.454186737893888
収益/日,441.85580120481933,5.256649564375604,84.0565451041825
RPM(円),555.558,67.043,8.286592187103798
CTR(%),3.2,3.8,0.8421052631578948
平均視聴率(%),29.1,43.23,0.6731436502428869
平均視聴秒,902.0,288.0,3.1319444444444446
登録/1k視聴,1.1777112375204946,1.3976891539321656,0.842613133404663
終了画面CTR(%),0.78,1.835,0.4250681198910082
インプレッション/日,15912.628514056225,517.9486931268151,30.722403058868537
