video_id,title,length_min,avg_watch_min,revenue_jpy,cum_revenue_pct
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,60.7,16.8,775439,27.5
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,47.5,14.2,413550,42.2
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,51.7,15.0,262158,51.5
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,68.2,18.3,220044,59.3
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,31.5,10.4,210520,66.8
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,61.7,19.3,199285,73.9
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,22.4,7.9,148980,79.2
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,24.0,9.9,142745,84.2
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,29.5,11.8,118205,88.4
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総まとめ①【にじさんじ/アンジュカトリーナ/ベルモンドバンデラス】,66.6,20.3,80132,91.3
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,48.6,15.3,59138,93.4
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,35.3,14.5,49974,95.1
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カトリーナ狂気まとめ①【アンジュ・カトリーナ/にじさんじ切り抜き】,27.0,12.4,25425,96.0
g5UgDFXpIYk,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,57.0,19.5,23279,96.9
XsefWP-oKek,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/アンジュ・カトリーナ/リゼ・ヘルエスタ】,74.4,19.0,23253,97.7
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,48.6,12.3,21402,98.5
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を見せくれたアンジュ【 OnlyUp!/アンジュ・カトリーナ/切り抜き/にじさんじ 】",18.8,7.5,17250,99.1
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,28.6,13.4,15543,99.6
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ切り抜き】,15.1,5.6,10567,100.0
